listing_id,artist,title,label,catno,format,release_id,status,price,listed,comments,media_condition,sleeve_condition,accept_offer,external_id,weight,format_quantity,flat_shipping,location
687973255,Various,Home For The Holidays,MCA Records,MSM-35007,"LP, Comp",2540653,For Sale,2.5,2019-07-31 22:33:33,[pop]  Vinyl is VG++ glossy nice and clean with minimal surface marks..   Clean center labels!  Picture cover is also VG+++ excellent and clean..   Take a trip down Memory Lane.. :-),Very Good Plus (VG+),Very Good Plus (VG+),Y,,0,1,0.0,
687973993,Various,Hop 004,Hop Records (2),HOP-004,"12"", Unofficial",3501049,Draft,3.99,2019-07-31 22:33:33,"[HipHop] FACTORY SEALED!!  minor wear under shrink..   BIG L!  Akinyele, Smoothe Da Hustler!",Mint (M),Near Mint (NM or M-),Y,amz,0,0,0.0,
687971433,Various,Insomnia - The Erick Sermon Compilation Album,Interscope Records,INTD-90060,"CD, Comp, Club",7353202,For Sale,4.2,2019-07-31 22:33:33,Disc is excellent.. Inserts are also VG+++ with minimal indents from case.. jewel case is like new.. Def Squad!!  ,Near Mint (NM or M-),Very Good Plus (VG+),Y,amz,0,1,0.0,
687971958,Various,Instrumental Moods,Virgin,7243 8 45397 2 6,"CD, Comp",1459965,For Sale,3.99,2019-07-31 22:33:33,clean all around..  Disc has minor marks and plays great..  inserts and original case are excellent too!,Near Mint (NM or M-),Near Mint (NM or M-),Y,,0,0,0.0,
687971771,Various,La Familia Reggaeton,Thugged Out Militainment,MLT 0007,"12""",3508305,For Sale,4.2,2019-07-31 22:33:33,[Reggae] FACTORY SEALED!  Includes inside flyer.. B-side center label is double stacked and top label has a bit of bubbling.. otherwise perfect!,Mint (M),Near Mint (NM or M-),Y,,0,0,0.0,
977523549,Various,Let's Get Freaky.,Communique Records,COMMUNIQUE017,"2x7"", Comp",117442,For Sale,16.99,2019-07-31 22:33:33,"[7Inch] Both 7 inches areVery nice and sound fantastic!  Clean center labels.  Printed bi-fold insert is nice with some creasing and minor wear, no markings.  stored in plastic sleeve.  ESP Woody McBride!  Midwest Acid!!",Very Good Plus (VG+),Very Good (VG),Y,,0,2,0.0,
687971864,Various,Lethal Weapon February 2006,Strictly Hits Vinyl Service,LTHL-074,"12""",5378416,For Sale,4.2,2019-07-31 22:33:33,[HipHop]   VG+++ Vinyl is shiny excellent.. minimal surface marks..sounds  fantastic!!   sexy clean center labels.. generic black cover is nice with minimal with rub/edge wear..  GRAB IT!,Very Good Plus (VG+),Generic,Y,,0,1,0.0,
687973994,Various,Lethal Weapon July 2005: Reloaded!,Strictly Hits Vinyl Service,LEW-066,"LP, Comp",1377705,For Sale,3.99,2019-07-31 22:33:33,[HipHop] vinyl is excellent with clean center labels.. original generic black sleeve is also very sharp..,Near Mint (NM or M-),Near Mint (NM or M-),Y,,0,0,0.0,
687971435,Various,Loud Records - The Early Daze,Loud Records,07863-68109-2,"CD, Comp",441652,For Sale,4.2,2019-07-31 22:33:33,Disc and inner art works are Like New..   classics!  ,Near Mint (NM or M-),Near Mint (NM or M-),Y,,0,1,0.0,
785964172,Various,Mixed Emotions - Jazz In The Eighth Dimension - Volume One ,Eighth Dimension Records,EDR 002,"LP, Comp",203476,Draft,9.79,2019-07-31 22:33:33,"[TripHop-NS] Vinyl is clean excellent. shiny and sounds fantastic! minor surface sweep. Clean unmarked center labels. Picture cover is also VG+ excellent, minor rub-corner wear. and hole punch.",Very Good Plus (VG+),Very Good Plus (VG+),Y,,0,1,0.0,
